n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,4,0.0005,normal,105000000,0.9273604727272727,5.2848593906535536e-05,8.942803912542912e-05,5.293607134893115e-06,11,3.433628967027529e-07,5.810234159656074e-07,0.9273555636363636,5.2789284233759093e-05,8.932767793612391e-05,0,2,64,48,64,97373130,0.0,1028,0,0,527.3433895618655,10177.173067875672
4,x,4,0.001,m1,7900000,0.8866564556962026,0.0002343992094190834,0.0010629519105009616,6.495539347164493e-05,79,4.048829120194738e-06,1.8360602236112068e-05,0.8865988607594936,0.00023407228907586214,0.0010614693943940606,0,2,56,-8,48,7004586,1.0,908,0,0,0.0,2163.752425855826
4,x,4,0.001,m1,7900000,0.8866564556962026,0.0002343992094190834,0.0010629519105009616,6.495539347164493e-05,79,4.048829120194738e-06,1.8360602236112068e-05,0.8865988607594936,0.00023407228907586214,0.0010614693943940606,0,2,56,-6,48,7004586,1.0,908,0,0,0.0,2163.752425855826
4,x,4,0.001,m1,55000000,0.8866770166666668,7.12702539795348e-05,8.906926331041962e-05,2.0826835848619217e-05,6,1.7836138779332986e-06,2.229053009736399e-06,0.8866585499999999,7.138196938345441e-05,8.92088784818543e-05,0,2,56,40,48,48767558,8.0,1993,0,0,66.91125023271888,837.7696264064871
4,x,4,0.001,normal,8000000,0.86009925,0.00024546642677187317,0.0011201624825630258,5.8639145793866995e-05,80,4.133420543387289e-06,1.8862467988996117e-05,0.8600488125,0.0002451344491137996,0.0011186475343784058,0,2,64,0,64,6880794,0.0,807,0,0,0.0,4783.787772665964
4,x,4,0.001,normal,8000000,0.86009925,0.00024546642677187317,0.0011201624825630258,5.8639145793866995e-05,80,4.133420543387289e-06,1.8862467988996117e-05,0.8600488125,0.0002451344491137996,0.0011186475343784058,0,2,64,2,64,6880794,0.0,807,0,0,0.0,4783.787772665964
4,x,4,0.001,normal,55000000,0.8603072666666667,0.00011686214808076048,0.00014604726175685288,2.0913006332598282e-05,6,1.092651803902627e-06,1.3655302990270515e-06,0.860289275,0.00011655006618813446,0.0001456572406370081,0,2,64,48,64,47316649,2.0,1967,0,0,540.2880013687536,5823.4277676153
4,x,4,0.005,m1,7900000,0.550216582278481,0.0004242817962402883,0.0019240301493426333,0.0015375634179274165,79,2.907130286257858e-05,0.00013183234275880695,0.5493706329113924,0.0004267126485798459,0.0019350535616863955,0,2,56,-8,48,4346711,106.0,13154,0,0,0.0,2635.5709740208695
4,x,4,0.005,m1,7900000,0.550216582278481,0.0004242817962402883,0.0019240301493426333,0.0015375634179274165,79,2.907130286257858e-05,0.00013183234275880695,0.5493706329113924,0.0004267126485798459,0.0019350535616863955,0,2,56,-6,48,4346711,106.0,13154,0,0,0.0,2635.5709740208695
4,x,4,0.005,m1,35000000,0.550269825,0.00013901042072568282,0.00014184736808743145,0.0005278311685305362,4,9.262834221922072e-06,9.451871655022522e-06,0.5499793749999999,0.00013680875172908868,0.00013960076707049865,0,2,56,40,48,19258874,108.0,20154,0,0,210.5591811342165,973.9419083618559
